method,,negative,positive,micro avg,macro avg,weighted avg,accuracy
bpw_dict,precision,0.47193119624706803,0.859692151556157,0.6860131207246749,0.6658116739016124,0.7508792606812152,
bpw_dict,recall,0.5800871348026653,0.5080975707287814,0.5282991729593671,0.5440923527657233,0.5282991729593671,
bpw_dict,f1-score,0.5204495157071825,0.6387056236255106,0.5969142636588016,0.5795775696663465,0.6055207740679905,
bpw_dict,support,15608.0,40012.0,55620.0,55620.0,55620.0,
slk,precision,0.5998688811188811,0.8131286702715275,0.7683122847301952,0.7064987756952044,0.7532840318483973,
slk,recall,0.351742696053306,0.6990402879136259,0.6015821646889608,0.5253914919834659,0.6015821646889608,
slk,f1-score,0.44345718901453957,0.7517806746405054,0.6748008470303518,0.5976189318275225,0.6652594059664658,
slk,support,15608.0,40012.0,55620.0,55620.0,55620.0,
bawl_r,precision,0.43549511854951184,0.7283341780047562,0.7128299796935573,0.581914648277134,0.6461581255060604,
bawl_r,recall,0.08002306509482317,0.9338448465460362,0.6942466738583244,0.5069339558204297,0.6942466738583244,
bawl_r,f1-score,0.13520242476726563,0.8183849135948487,0.7034156116221879,0.47679366918105714,0.626671280268331,
bawl_r,support,15608.0,40012.0,55620.0,55620.0,55620.0,
sentiws_dict,precision,0.5477684384988754,0.8381577559843931,0.7486776346988655,0.6929630972416343,0.7566691463599063,
sentiws_dict,recall,0.5929010763710918,0.7945866240127961,0.7379899316792521,0.693743850191944,0.7379899316792521,
sentiws_dict,f1-score,0.5694418804996616,0.8157908241814635,0.7432953660612427,0.6926163523405626,0.7466607574251607,
sentiws_dict,support,15608.0,40012.0,55620.0,55620.0,55620.0,
german_polarity_clues,precision,0.5401679024450028,0.8487888777411495,0.7504296539332864,0.6944783900930762,0.7621841279672865,
german_polarity_clues,recall,0.5647744746283957,0.7400279916025192,0.6908486156058972,0.6524012331154574,0.6908486156058972,
german_polarity_clues,f1-score,0.5521971998621856,0.7906858752687024,0.7194076237549615,0.671441537565444,0.7237615450683264,
german_polarity_clues,support,15608.0,40012.0,55620.0,55620.0,55620.0,
zeroshot,precision,0.6490926157697121,0.9132641861486116,,0.7811784009591618,0.8391327609333318,0.8221862639338368
zeroshot,recall,0.79747565351102,0.8318254523642907,,0.8146505529376553,0.8221862639338368,0.8221862639338368
zeroshot,f1-score,0.7156738730450782,0.8706445537302502,,0.7931592133876642,0.8271569164750513,0.8221862639338368
zeroshot,support,15608.0,40012.0,,55620.0,55620.0,0.8221862639338368
guhr_pipe,precision,0.6496103317746604,0.9757281553398058,0.8410775029879562,0.8126692435572331,0.8842134665551098,
guhr_pipe,recall,0.934584828293183,0.7786414075777267,0.8224020136641496,0.8566131179354548,0.8224020136641496,
guhr_pipe,f1-score,0.766466121955705,0.8661143699090934,0.8316349256851961,0.8162902459323992,0.8381512297786281,
guhr_pipe,support,15608.0,40012.0,55620.0,55620.0,55620.0,
